omega	X
2.67035	-1.21498
2.70177	-1.24999
2.73319	-1.2185
2.7646	-1.12641
2.79602	-0.98159
2.82743	-0.793604
2.85885	-0.57329
2.89027	-0.332356
2.92168	-0.0829303
2.9531	0.162903
2.98451	0.393557
3.01593	0.598384
3.04734	0.768068
3.07876	0.894978
3.11018	0.973451
3.14159	1
3.17301	0.973451
3.20442	0.894978
3.23584	0.768068
3.26726	0.598384
3.29867	0.393557
3.33009	0.162903
3.3615	-0.0829303
3.39292	-0.332356
3.42434	-0.57329
3.45575	-0.793604
3.48717	-0.98159
3.51858	-1.12641
3.55	-1.2185
3.58142	-1.24999
3.61283	-1.21498
3.64425	-1.10981
3.67566	-0.933232
3.70708	-0.6865
3.7385	-0.373368
3.76991	-2.00079e-14
3.80133	0.425202
3.83274	0.891854
3.86416	1.38792
3.89557	1.90009
3.92699	2.41421
3.95841	2.91579
3.98982	3.39041
4.02124	3.82427
4.05265	4.2046
4.08407	4.52015
4.11549	4.76149
4.1469	4.9214
4.17832	4.99507
4.20973	4.98028
4.24115	4.87749
4.27257	4.68978
4.30398	4.42279
4.3354	4.0845
4.36681	3.68499
4.39823	3.23607
4.42965	2.75089
4.46106	2.24351
4.49248	1.72843
4.52389	1.2201
4.55531	0.73241
4.58673	0.278312
4.61814	-0.130674
4.64956	-0.48479
4.68097	-0.776358
4.71239	-1
4.7438	-1.15279
4.77522	-1.23432
4.80664	-1.24664
4.83805	-1.19419
4.86947	-1.08355
4.90088	-0.923212
4.9323	-0.723194
4.96372	-0.494675
4.99513	-0.249556
5.02655	-1.5452e-15
5.05796	0.242023
5.08938	0.465194
5.1208	0.659265
5.15221	0.815447
5.18363	0.926736
5.21504	0.988176
5.24646	0.99704
5.27788	0.952937
5.30929	0.857821
5.34071	0.715921
5.37212	0.533585
5.40354	0.31904
5.43496	0.082088
5.46637	-0.166264
5.49779	-0.414214
5.5292	-0.649611
5.56062	-0.860416
5.59203	-1.03516
5.62345	-1.16339
5.65487	-1.23607
5.68628	-1.24594
5.7177	-1.18783
5.74911	-1.05887
5.78053	-0.858648
5.81195	-0.589244
5.84336	-0.255234
5.87478	0.136449
5.90619	0.576711
5.93761	1.05458
5.96903	1.55754
6.00044	2.07196
6.03186	2.58352
6.06327	3.07769
6.09469	3.54021
6.12611	3.95758
6.15752	4.31749
6.18894	4.60924
6.22035	4.82413
6.25177	4.9557
6.28319	5
6.3146	4.9557
6.34602	4.82413
6.37743	4.60924
6.40885	4.31749
6.44026	3.95758
6.47168	3.54021
6.5031	3.07769
6.53451	2.58352
6.56593	2.07196
6.59734	1.55754
6.62876	1.05458
6.66018	0.576711
6.69159	0.136449
6.72301	-0.255234
6.75442	-0.589244
6.78584	-0.858648
6.81726	-1.05887
6.84867	-1.18783
6.88009	-1.24594
6.9115	-1.23607
6.94292	-1.16339
6.97434	-1.03516
7.00575	-0.860416
7.03717	-0.649611
7.06858	-0.414214
7.1	-0.166264
7.13142	0.082088
7.16283	0.31904
7.19425	0.533585
7.22566	0.715921
7.25708	0.857821
7.28849	0.952937
7.31991	0.99704
7.35133	0.988176
7.38274	0.926736
7.41416	0.815447
7.44557	0.659265
7.47699	0.465194
7.50841	0.242023
7.53982	2.31781e-15
7.57124	-0.249556
7.60265	-0.494675
7.63407	-0.723194
7.66549	-0.923212
