t	xt
-4.71	-1.63632-6.37306i
-4.709	-1.67566-6.3601i
-4.708	-1.71491-6.34691i
-4.707	-1.75405-6.33348i
-4.706	-1.79309-6.3198i
-4.705	-1.83203-6.30589i
-4.704	-1.87087-6.29174i
-4.703	-1.9096-6.27735i
-4.702	-1.94822-6.26272i
-4.701	-1.98674-6.24785i
-4.7	-2.02514-6.23275i
-4.699	-2.06344-6.21742i
-4.698	-2.10162-6.20185i
-4.697	-2.13969-6.18605i
-4.696	-2.17765-6.17001i
-4.695	-2.21549-6.15375i
-4.694	-2.2532-6.13725i
-4.693	-2.29081-6.12052i
-4.692	-2.32828-6.10357i
-4.691	-2.36564-6.08638i
-4.69	-2.40288-6.06897i
-4.689	-2.43998-6.05133i
-4.688	-2.47697-6.03347i
-4.687	-2.51382-6.01538i
-4.686	-2.55055-5.99707i
-4.685	-2.58714-5.97853i
-4.684	-2.6236-5.95977i
-4.683	-2.65993-5.94079i
-4.682	-2.69613-5.92159i
-4.681	-2.73219-5.90218i
-4.68	-2.76811-5.88254i
-4.679	-2.8039-5.86269i
-4.678	-2.83954-5.84261i
-4.677	-2.87505-5.82233i
-4.676	-2.91041-5.80183i
-4.675	-2.94562-5.78111i
-4.674	-2.9807-5.76019i
-4.673	-3.01562-5.73905i
-4.672	-3.0504-5.7177i
-4.671	-3.08503-5.69614i
-4.67	-3.11952-5.67438i
-4.669	-3.15384-5.6524i
-4.668	-3.18802-5.63022i
-4.667	-3.22205-5.60784i
-4.666	-3.25591-5.58525i
-4.665	-3.28963-5.56246i
-4.664	-3.32318-5.53946i
-4.663	-3.35658-5.51626i
-4.662	-3.38982-5.49287i
-4.661	-3.42289-5.46927i
-4.66	-3.45581-5.44548i
-4.659	-3.48856-5.42149i
-4.658	-3.52114-5.3973i
-4.657	-3.55356-5.37292i
-4.656	-3.58582-5.34835i
-4.655	-3.6179-5.32358i
-4.654	-3.64982-5.29863i
-4.653	-3.68157-5.27348i
-4.652	-3.71314-5.24815i
-4.651	-3.74455-5.22262i
-4.65	-3.77578-5.19691i
-4.649	-3.80683-5.17102i
-4.648	-3.83771-5.14494i
-4.647	-3.86842-5.11868i
-4.646	-3.89894-5.09223i
-4.645	-3.92929-5.06561i
-4.644	-3.95945-5.0388i
-4.643	-3.98944-5.01182i
-4.642	-4.01924-4.98466i
-4.641	-4.04886-4.95733i
-4.64	-4.0783-4.92982i
-4.639	-4.10755-4.90213i
-4.638	-4.13661-4.87428i
-4.637	-4.16549-4.84625i
-4.636	-4.19418-4.81806i
-4.635	-4.22268-4.78969i
-4.634	-4.25099-4.76116i
-4.633	-4.27911-4.73246i
-4.632	-4.30704-4.7036i
-4.631	-4.33477-4.67458i
-4.63	-4.36231-4.64539i
-4.629	-4.38966-4.61604i
-4.628	-4.41681-4.58654i
-4.627	-4.44376-4.55687i
-4.626	-4.47051-4.52705i
-4.625	-4.49707-4.49707i
-4.624	-4.52343-4.46694i
-4.623	-4.54959-4.43666i
-4.622	-4.57554-4.40622i
-4.621	-4.6013-4.37563i
-4.62	-4.62685-4.3449i
-4.619	-4.65219-4.31401i
-4.618	-4.67734-4.28299i
-4.617	-4.70227-4.25181i
-4.616	-4.727-4.22049i
-4.615	-4.75153-4.18903i
-4.614	-4.77584-4.15743i
-4.613	-4.79995-4.12569i
-4.612	-4.82385-4.09382i
-4.611	-4.84753-4.0618i
-4.61	-4.87101-4.02965i
-4.609	-4.89428-3.99737i
-4.608	-4.91733-3.96495i
-4.607	-4.94017-3.9324i
-4.606	-4.96279-3.89972i
-4.605	-4.9852-3.86692i
-4.604	-5.0074-3.83399i
-4.603	-5.02937-3.80093i
-4.602	-5.05114-3.76774i
-4.601	-5.07268-3.73444i
-4.6	-5.09401-3.70101i
-4.599	-5.11511-3.66747i
-4.598	-5.136-3.6338i
-4.597	-5.15667-3.60002i
-4.596	-5.17711-3.56612i
-4.595	-5.19734-3.53211i
-4.594	-5.21734-3.49798i
-4.593	-5.23712-3.46375i
-4.592	-5.25668-3.4294i
-4.591	-5.27601-3.39495i
-4.59	-5.29512-3.36039i
-4.589	-5.314-3.32572i
-4.588	-5.33266-3.29095i
-4.587	-5.35109-3.25607i
-4.586	-5.3693-3.2211i
-4.585	-5.38727-3.18603i
-4.584	-5.40502-3.15085i
-4.583	-5.42254-3.11558i
-4.582	-5.43984-3.08022i
-4.581	-5.4569-3.04476i
-4.58	-5.47373-3.00921i
-4.579	-5.49034-2.97357i
-4.578	-5.50671-2.93784i
-4.577	-5.52285-2.90202i
-4.576	-5.53876-2.86611i
-4.575	-5.55443-2.83013i
-4.574	-5.56988-2.79405i
-4.573	-5.58509-2.7579i
-4.572	-5.60007-2.72166i
-4.571	-5.61481-2.68535i
-4.57	-5.62932-2.64896i
-4.569	-5.64359-2.61249i
-4.568	-5.65763-2.57595i
-4.567	-5.67144-2.53933i
-4.566	-5.68501-2.50265i
-4.565	-5.69834-2.46589i
-4.564	-5.71144-2.42907i
-4.563	-5.72429-2.39218i
-4.562	-5.73692-2.35522i
-4.561	-5.7493-2.3182i
-4.56	-5.76145-2.28112i
-4.559	-5.77336-2.24398i
-4.558	-5.78503-2.20677i
-4.557	-5.79646-2.16951i
-4.556	-5.80765-2.1322i
-4.555	-5.81861-2.09483i
-4.554	-5.82932-2.0574i
-4.553	-5.8398-2.01993i
-4.552	-5.85003-1.9824i
-4.551	-5.86003-1.94483i
-4.55	-5.86979-1.90721i
-4.549	-5.8793-1.86954i
-4.548	-5.88858-1.83183i
-4.547	-5.89761-1.79408i
-4.546	-5.9064-1.75629i
-4.545	-5.91495-1.71845i
-4.544	-5.92327-1.68058i
-4.543	-5.93134-1.64268i
-4.542	-5.93916-1.60473i
-4.541	-5.94675-1.56676i
-4.54	-5.95409-1.52875i
-4.539	-5.9612-1.49071i
-4.538	-5.96806-1.45265i
-4.537	-5.97468-1.41456i
-4.536	-5.98105-1.37644i
-4.535	-5.98719-1.3383i
-4.534	-5.99308-1.30013i
-4.533	-5.99873-1.26194i
-4.532	-6.00414-1.22374i
-4.531	-6.00931-1.18552i
-4.53	-6.01423-1.14728i
-4.529	-6.01891-1.10902i
-4.528	-6.02335-1.07075i
-4.527	-6.02755-1.03247i
-4.526	-6.0315-0.994183i
-4.525	-6.03522-0.955885i
-4.524	-6.03869-0.917578i
-4.523	-6.04192-0.879267i
-4.522	-6.0449-0.840951i
-4.521	-6.04765-0.802632i
-4.52	-6.05015-0.764312i
-4.519	-6.05241-0.725992i
-4.518	-6.05443-0.687675i
-4.517	-6.05621-0.649361i
-4.516	-6.05775-0.611051i
-4.515	-6.05904-0.572748i
-4.514	-6.0601-0.534453i
-4.513	-6.06091-0.496168i
-4.512	-6.06149-0.457893i
-4.511	-6.06182-0.419631i
-4.51	-6.06191-0.381383i
-4.509	-6.06176-0.34315i
-4.508	-6.06137-0.304935i
-4.507	-6.06074-0.266737i
-4.506	-6.05988-0.22856i
-4.505	-6.05877-0.190404i
-4.504	-6.05742-0.152272i
-4.503	-6.05584-0.114163i
-4.502	-6.05401-0.076081i
-4.501	-6.05195-0.038026i
-4.5	-6.04965+6.66781e-15i
-4.499	-6.04711+0.0379956i
-4.498	-6.04433+0.0759593i
-4.497	-6.04132+0.11389i
-4.496	-6.03807+0.151785i
-4.495	-6.03458+0.189644i
-4.494	-6.03086+0.227466i
-4.493	-6.0269+0.265248i
-4.492	-6.0227+0.302989i
-4.491	-6.01827+0.340689i
-4.49	-6.01361+0.378344i
-4.489	-6.00871+0.415955i
-4.488	-6.00357+0.453518i
-4.487	-5.99821+0.491034i
-4.486	-5.9926+0.528501i
-4.485	-5.98677+0.565916i
-4.484	-5.9807+0.60328i
-4.483	-5.9744+0.640589i
-4.482	-5.96787+0.677843i
-4.481	-5.96111+0.715041i
-4.48	-5.95412+0.75218i
-4.479	-5.9469+0.78926i
-4.478	-5.93944+0.826279i
-4.477	-5.93176+0.863236i
-4.476	-5.92385+0.900129i
-4.475	-5.91571+0.936957i
-4.474	-5.90735+0.973718i
-4.473	-5.89875+1.01041i
-4.472	-5.88993+1.04704i
-4.471	-5.88088+1.08359i
-4.47	-5.87161+1.12007i
-4.469	-5.86211+1.15648i
-4.468	-5.85239+1.19281i
-4.467	-5.84244+1.22907i
-4.466	-5.83227+1.26524i
-4.465	-5.82187+1.30134i
-4.464	-5.81126+1.33736i
-4.463	-5.80042+1.3733i
-4.462	-5.78936+1.40915i
-4.461	-5.77808+1.44492i
-4.46	-5.76658+1.48061i
-4.459	-5.75486+1.5162i
-4.458	-5.74292+1.55171i
-4.457	-5.73077+1.58713i
-4.456	-5.71839+1.62246i
-4.455	-5.7058+1.65769i
-4.454	-5.693+1.69283i
-4.453	-5.67998+1.72787i
-4.452	-5.66674+1.76282i
-4.451	-5.65329+1.79767i
-4.45	-5.63963+1.83243i
-4.449	-5.62575+1.86708i
-4.448	-5.61167+1.90163i
-4.447	-5.59737+1.93607i
-4.446	-5.58286+1.97042i
-4.445	-5.56814+2.00465i
-4.444	-5.55321+2.03878i
-4.443	-5.53808+2.07281i
-4.442	-5.52274+2.10672i
-4.441	-5.50719+2.14052i
-4.44	-5.49143+2.17421i
-4.439	-5.47547+2.20779i
-4.438	-5.45931+2.24125i
-4.437	-5.44294+2.2746i
-4.436	-5.42637+2.30783i
-4.435	-5.4096+2.34094i
-4.434	-5.39263+2.37394i
-4.433	-5.37545+2.40681i
-4.432	-5.35808+2.43956i
-4.431	-5.34051+2.47219i
-4.43	-5.32274+2.50469i
-4.429	-5.30478+2.53707i
-4.428	-5.28662+2.56932i
-4.427	-5.26826+2.60145i
-4.426	-5.24971+2.63345i
-4.425	-5.23097+2.66531i
-4.424	-5.21203+2.69705i
-4.423	-5.19291+2.72865i
-4.422	-5.17359+2.76012i
-4.421	-5.15408+2.79145i
-4.42	-5.13439+2.82265i
-4.419	-5.11451+2.85372i
-4.418	-5.09444+2.88464i
-4.417	-5.07418+2.91543i
-4.416	-5.05374+2.94607i
-4.415	-5.03312+2.97658i
-4.414	-5.01231+3.00694i
-4.413	-4.99132+3.03716i
-4.412	-4.97015+3.06723i
-4.411	-4.9488+3.09716i
-4.41	-4.92727+3.12694i
-4.409	-4.90557+3.15658i
-4.408	-4.88368+3.18606i
-4.407	-4.86162+3.2154i
-4.406	-4.83939+3.24458i
-4.405	-4.81698+3.27362i
-4.404	-4.7944+3.3025i
-4.403	-4.77164+3.33122i
-4.402	-4.74872+3.35979i
-4.401	-4.72562+3.38821i
-4.4	-4.70236+3.41646i
-4.399	-4.67893+3.44457i
-4.398	-4.65533+3.47251i
-4.397	-4.63157+3.50029i
-4.396	-4.60764+3.52791i
-4.395	-4.58355+3.55537i
-4.394	-4.5593+3.58266i
-4.393	-4.53488+3.60979i
-4.392	-4.51031+3.63676i
-4.391	-4.48557+3.66356i
-4.39	-4.46068+3.6902i
-4.389	-4.43563+3.71666i
-4.388	-4.41043+3.74296i
-4.387	-4.38507+3.76909i
-4.386	-4.35956+3.79505i
-4.385	-4.33389+3.82084i
-4.384	-4.30808+3.84646i
-4.383	-4.28211+3.8719i
-4.382	-4.256+3.89717i
-4.381	-4.22973+3.92226i
-4.38	-4.20332+3.94718i
-4.379	-4.17677+3.97193i
-4.378	-4.15007+3.99649i
-4.377	-4.12323+4.02088i
-4.376	-4.09624+4.04509i
-4.375	-4.06912+4.06912i
-4.374	-4.04185+4.09297i
-4.373	-4.01445+4.11664i
-4.372	-3.98691+4.14012i
-4.371	-3.95924+4.16342i
-4.37	-3.93143+4.18654i
-4.369	-3.90348+4.20948i
-4.368	-3.87541+4.23223i
-4.367	-3.8472+4.25479i
-4.366	-3.81886+4.27717i
-4.365	-3.7904+4.29936i
-4.364	-3.7618+4.32136i
-4.363	-3.73308+4.34317i
-4.362	-3.70424+4.3648i
-4.361	-3.67527+4.38623i
-4.36	-3.64618+4.40747i
-4.359	-3.61697+4.42852i
-4.358	-3.58764+4.44938i
-4.357	-3.55818+4.47005i
-4.356	-3.52862+4.49052i
-4.355	-3.49893+4.5108i
-4.354	-3.46913+4.53088i
-4.353	-3.43922+4.55077i
-4.352	-3.4092+4.57046i
-4.351	-3.37906+4.58995i
-4.35	-3.34881+4.60925i
-4.349	-3.31846+4.62835i
-4.348	-3.288+4.64725i
-4.347	-3.25743+4.66595i
-4.346	-3.22676+4.68445i
-4.345	-3.19598+4.70275i
-4.344	-3.16511+4.72085i
-4.343	-3.13413+4.73874i
-4.342	-3.10305+4.75644i
-4.341	-3.07187+4.77393i
-4.34	-3.0406+4.79122i
-4.339	-3.00923+4.80831i
-4.338	-2.97777+4.82519i
-4.337	-2.94622+4.84187i
-4.336	-2.91457+4.85834i
-4.335	-2.88283+4.87461i
-4.334	-2.85101+4.89067i
-4.333	-2.8191+4.90652i
-4.332	-2.7871+4.92217i
-4.331	-2.75501+4.93761i
-4.33	-2.72285+4.95284i
-4.329	-2.6906+4.96786i
-4.328	-2.65827+4.98268i
-4.327	-2.62586+4.99728i
-4.326	-2.59337+5.01167i
-4.325	-2.5608+5.02586i
